study	accession/id	sample name	azole resistance/sensitive	clinical/environmental	country																																																																																																										
barber	SRR13579461	676-L-3-13-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579462	672-L-3-11-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579463	670-L-3-15-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579464	669-L-3-21-3	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579465	666-L-3-21-1	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579466	665-G-2-9-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579467	154-A-2-47L-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579468	110-C-1-76s-2	Susceptible	Environmental	Germany																																																																																																										
barber	SRR13579469	104-D-2-32L-1	Susceptible	Environmental	Germany																																																																																																										
celia	SRR25182956			Environmental	USA																																																																																																										
celia	SRR25182957			Environmental	USA																																																																																																										
celia	SRR25182958			Environmental	USA																																																																																																										
celia	SRR25182959			Environmental	USA																																																																																																										
